FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=90.1 deg, Strike=0.1 deg
SITES:            13
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
OFFSETS (M):      
   0.0
   0.0
   14.3
   43.3
   76.7
   78.6
   89.4
   90.1
   116.8
   127.5
   130.4
   132.1
   333.9
FREQUENCIES:      10
   1.000000e-03
   4.641589e-03
   2.154435e-02
   1.000000e-01
   4.641589e-01
   2.154435e+00
   1.000000e+01
   4.641589e+01
   2.154435e+02
   1.000000e+03
DATA BLOCKS:      318
SITE  FREQ  TYPE   DATUM    ERROR   
  12    8     4      0.0395   0.1000
  12    8     5      3.0937   0.0434
  12    8     6     30.5760   2.8660
  12    9     1      2.7730   0.0434
  12    9     2     33.1853   2.8660
  12    9     3      0.1858   0.1000
  12    9     4      0.0210   0.1000
  12    9     5      2.7924   0.0434
  12    9     6     31.6670   2.8660
  12    10    1      2.5426   0.0434
  12    10    2     28.1023   2.8660
  12    10    3     -0.1165   0.1000
  12    10    4     -0.1131   0.1000
  12    10    5      2.3091   0.0434
  12    10    6     21.6110   2.8660
  13    4     1      3.2346   0.0989
  13    4     2     49.2971   6.5386
  13    4     3      4.6453   0.1000
  13    4     4     -1.2844   0.1000
  13    4     5      2.7800   0.1570
  13    4     6     43.9886  10.4167
  13    5     1      3.6899   0.0656
  13    5     2     46.1623   4.3283
  13    5     3      3.7854   0.1000
  13    5     4     22.9006   0.1000
  13    5     5      3.4573   0.0478
  13    5     6     41.9134   3.1561
  13    6     1      3.3381   0.0434
  13    6     2     47.1359   2.8660
  13    6     3      1.5450   0.1000
  13    6     4      1.8500   0.1000
  13    6     5      3.4157   0.0434
  13    6     6     32.2315   2.8660
  13    7     1      3.3489   0.0434
  13    7     2     26.7455   2.8660
  13    7     3      0.3597   0.1000
  13    7     4      0.3050   0.1000
  13    7     5      3.3542   0.0434
  13    7     6     40.1639   2.8660
  13    8     1      3.0449   0.0434
  13    8     2     28.7987   2.8660
  13    8     3     -0.5162   0.1000
  13    8     4      0.1877   0.1000
  13    8     5      3.2919   0.0434
  13    8     6     26.2232   2.8660
  13    9     1      2.7556   0.0434
  13    9     2     32.5735   2.8660
  13    9     3      1.5672   0.1000
  13    9     4      0.6362   0.1000
  13    9     5      2.8659   0.0434
  13    9     6     39.2898   2.8660
  13    10    1      2.4567   0.0434
  13    10    2     21.5518   2.8660
  13    10    3      0.0886   0.1000
  13    10    4     -0.1997   0.1000
  13    10    5      2.5986   0.0434
  13    10    6     33.6828   2.8660
